sample_id,formula_from_sites,n_sites,volume_a3,a_a,b_a,c_a,alpha_deg,beta_deg,gamma_deg,last_phdos_peak_cm1
0,BaTe,2,89.09109455639522,5.013216160673185,5.013216156734002,5.01321616,59.999999978449296,60.00000000444201,59.999999976968624,98.58577122703691
1,AsB,2,27.982032094119386,3.407726640525688,3.4077266407787095,3.40772664,60.000000007559144,60.000000005103,59.99999994981319,701.5857233477558
1008,CSi,2,21.00059564146384,3.0968169615324337,3.0968169595354396,3.09681696,59.99999999503765,60.000000016369235,60.0000000512529,849.5857115962906
1039,GaN,2,23.48047625009842,3.2142079184713435,3.2142079130946004,3.21420792,59.999999928931544,59.9999999842675,59.99999999359501,670.5857258092112
1054,FK,2,34.6126688342397,3.25895499,3.25895499,3.25895499,90.0,90.0,90.0,204.58576281044685
1055,CsF,2,50.74080166626375,3.70213662,3.70213662,3.70213662,90.0,90.0,90.0,213.47561009872064
1072,AgBr,2,63.400434450458114,4.475783565092206,4.475783565092206,4.475783565092206,59.99999999999999,59.99999999999999,59.99999999999999,143.5857676539562
114,MgTe,2,69.05665589678975,4.605111825726167,4.605111825011563,4.60511182,60.000000035999385,60.00000004113257,59.99999998081593,261.5857582845447
14,SiSn,2,55.89217887411322,4.291627432716428,4.291627432716428,4.291627432716428,60.00000000000001,60.00000000000001,60.00000000000001,344.5857516941958
156,CaSe,2,53.05137671147572,4.217650143884129,4.21765014040066,4.21765015,60.000000003142446,60.00000003046389,60.00000003827037,184.5857643984827
165,BP,2,23.499693654973573,3.2150845562976422,3.2150845600336084,3.21508456,60.00000000034579,59.99999996190677,59.999999953640454,791.5857162015947
166,Si2,2,40.888291888494884,3.866974622849504,3.866974623775052,3.86697462,60.000000032293386,60.00000002437586,60.0000000241681,480.58574089555196
168,BaS,2,67.30959610427875,4.565944845439961,4.565944839181202,4.56594484,59.999999994067906,60.00000003941188,60.00000002275895,218.58576169882184
170,CaTe,2,65.45088492624757,4.523523392194204,4.523523390130754,4.52352339,59.99999992782793,59.99999994291759,59.999999989076024,163.58576606592038
173,BeSe,2,34.823676411618,3.6654717144804385,3.6654717137796125,3.66547171,59.99999994386295,59.999999950187686,59.99999996046705,565.5857341463998
174,AlP,2,41.75533088564775,3.894116818766542,3.894116821426836,3.89411682,60.00000001212069,59.999999989522024,59.9999999665686,430.5857448656418
199,BN,2,11.917209407887151,2.563873080555077,2.5638730861248753,2.56387308,60.00000007902468,60.00000000716174,60.00000000214625,1223.58568190002
202,CaS,2,46.69512986523882,4.041992735884414,4.0419927385905305,4.04199273,59.99999998846488,59.99999996631797,59.99999995244177,244.5857596343752
206,AlN,2,21.316978277503637,3.1122911166288034,3.1122911219498155,3.11229112,60.00000002072408,59.99999996416843,59.999999971302884,722.5857216803181
208,BeO,2,13.980548086949062,2.704039706026106,2.7040397100067586,2.70403971,60.00000012241718,60.00000007372006,60.000000027213964,1011.5856987332004
209,CsF,2,57.24934956958447,4.3260863628359285,4.326086357933723,4.32608636,59.99999998420007,60.00000002168513,60.00000002111919,215.5857619370272
214,SrTe,2,76.00671805533013,4.7546913061030045,4.754691299865439,4.75469131,59.999999999063824,60.00000004246032,60.00000002507828,121.58576940079568
217,PbTe,2,70.75839257292664,4.64263262260234,4.64263262260234,4.64263262260234,59.99999999999999,59.99999999999999,59.99999999999999,95.58577146524229
223,OZn,2,24.820474844853734,3.2742238013201526,3.2742238028299564,3.2742238,60.000000028591266,60.000000013337605,59.999999965815256,538.5857362902481
236,InP,2,52.83998339624193,4.212040679434068,4.212040676713186,4.21204068,59.99999997418664,59.999999995555385,59.99999997566818,331.5857527264192
240,FRb,2,41.24121813458163,3.4549664,3.4549664,3.4549664,90.0,90.0,90.0,238.58576011078603
252,PbS,2,54.174245822071036,4.247199135837018,4.247199135837018,4.247199135837018,60.00000000000001,60.00000000000001,60.00000000000001,224.58576122241104
257,AlAs,2,47.12566057794863,4.054377189846353,4.054377189407538,4.05437719,59.99999991357591,59.99999991715622,59.999999941190524,331.5857527264192
258,FTl,2,45.84805930404276,4.017297294157136,4.017297291518481,4.0174547336702116,119.99870363510342,119.99870358225763,90.00000008338702,222.91912719571775
259,TeZn,2,59.14561543024554,4.373332702250636,4.373332703817418,4.3733327,60.000000028874815,60.00000001702372,59.99999997952967,178.58576487489344
