jid,point_id,dielectric_response
JVASP-266,0,1.4
JVASP-266,1,1.4
JVASP-266,2,1.4
JVASP-266,3,1.4
JVASP-266,4,1.4
JVASP-266,5,1.4
JVASP-266,6,1.4
JVASP-266,7,1.4
JVASP-266,8,1.4
JVASP-266,9,1.4
JVASP-266,10,1.4
JVASP-266,11,1.4
JVASP-266,12,1.4
JVASP-266,13,1.4
JVASP-266,14,1.4
JVASP-266,15,1.4
JVASP-266,16,1.4
JVASP-266,17,1.4
JVASP-266,18,1.4
JVASP-266,19,1.4
JVASP-266,20,1.4
JVASP-266,21,1.4
JVASP-266,22,1.4
JVASP-266,23,1.4
JVASP-266,24,1.4
JVASP-266,25,1.4
JVASP-266,26,1.4
JVASP-266,27,1.4
JVASP-266,28,1.4
JVASP-266,29,1.4
JVASP-266,30,1.4
JVASP-266,31,1.4545
JVASP-266,32,1.509
JVASP-266,33,1.5945
JVASP-266,34,1.6800000000000004
JVASP-266,35,1.7845
JVASP-266,36,1.889
JVASP-266,37,1.9755
JVASP-266,38,2.0620000000000003
JVASP-266,39,2.157
JVASP-266,40,2.252
JVASP-266,41,2.3700000000000006
JVASP-266,42,2.488
JVASP-266,43,2.6214999999999993
JVASP-266,44,2.755
JVASP-266,45,2.9074999999999998
JVASP-266,46,3.060000000000002
JVASP-266,47,3.2425000000000006
JVASP-266,48,3.425000000000002
JVASP-266,49,3.6645000000000008
JVASP-266,50,3.904
JVASP-266,51,4.214000000000001
JVASP-266,52,4.524
JVASP-266,53,4.930500000000002
JVASP-266,54,5.337
JVASP-266,55,5.9094999999999995
JVASP-266,56,6.482000000000008
JVASP-266,57,7.343500000000004
JVASP-266,58,8.205000000000013
JVASP-266,59,9.583500000000006
JVASP-266,60,10.962
JVASP-266,61,13.14350000000001
JVASP-266,62,15.325
JVASP-266,63,16.184000000000005
JVASP-266,64,17.043
JVASP-266,65,16.42
JVASP-266,66,15.79699999999999
JVASP-266,67,14.694499999999996
JVASP-266,68,13.591999999999995
JVASP-266,69,13.017499999999998
JVASP-266,70,12.443
JVASP-266,71,12.086999999999998
JVASP-266,72,11.731
JVASP-266,73,11.498499999999998
JVASP-266,74,11.266
JVASP-266,75,11.120000000000001
JVASP-266,76,10.974
JVASP-266,77,10.907499999999999
JVASP-266,78,10.841
JVASP-266,79,10.856
JVASP-266,80,10.871
JVASP-266,81,10.9795
JVASP-266,82,11.088000000000003
JVASP-266,83,11.313500000000001
JVASP-266,84,11.539
JVASP-266,85,11.9485
JVASP-266,86,12.358
JVASP-266,87,13.048500000000008
JVASP-266,88,13.739
JVASP-266,89,14.950000000000001
JVASP-266,90,16.161
JVASP-266,91,18.1
JVASP-266,92,20.039000000000026
JVASP-266,93,21.493500000000015
JVASP-266,94,22.948
JVASP-266,95,21.9685
JVASP-266,96,20.988999999999972
JVASP-266,97,19.441499999999987
JVASP-266,98,17.894
JVASP-266,99,16.395
JVASP-266,100,14.896
JVASP-266,101,13.18949999999997
JVASP-266,102,11.482999999999983
JVASP-266,103,10.44099999999999
JVASP-266,104,9.399
JVASP-266,105,8.8535
JVASP-266,106,8.307999999999995
JVASP-266,107,8.012499999999998
JVASP-266,108,7.717
JVASP-266,109,7.5125
JVASP-266,110,7.308
JVASP-266,111,7.069999999999996
JVASP-266,112,6.831999999999995
JVASP-266,113,6.574499999999998
JVASP-266,114,6.317
JVASP-266,115,6.1205
JVASP-266,116,5.923999999999999
JVASP-266,117,5.801999999999999
JVASP-266,118,5.68
JVASP-266,119,5.662
JVASP-266,120,5.644
