jid,heat_capacity
JVASP-48166,303.99949794015134
JVASP-22670,212.16902233663745
JVASP-50006,103.5988709281539
JVASP-48645,94.83479830678276
JVASP-15056,49.34811554282962
JVASP-14914,68.44953417503403
JVASP-1198,48.43565818042928
JVASP-49776,131.97326188304237
JVASP-14874,83.49510616845117
JVASP-50811,87.66663704794594
JVASP-22517,45.94412164600063
JVASP-589,72.1026309511318
JVASP-64994,139.5551332998799
JVASP-43637,68.22556053708279
JVASP-16085,24.37589152086572
JVASP-15346,115.82255031777252
JVASP-18826,90.99410653092758
JVASP-22622,140.50435609324708
JVASP-48807,151.27026953723876
JVASP-65139,66.06754017348649
JVASP-65090,126.33942031493604
JVASP-15981,122.52431513484052
JVASP-3834,216.14902373382725
JVASP-5167,49.29349994598988
JVASP-22563,107.64552071783812
JVASP-18657,72.33193892620496
JVASP-65426,96.40043988382726
JVASP-61260,79.06675421426351
JVASP-1363,44.89030545498004
JVASP-65508,97.90707142675898
JVASP-14847,20.90998551465202
JVASP-65157,137.4324909214942
JVASP-12165,67.69884169900736
JVASP-65547,97.6434936135634
JVASP-61785,98.39034653043956
JVASP-65159,139.27055417381376
JVASP-335,72.68333590904243
JVASP-65449,97.515751471399
JVASP-65776,97.98938295330969
JVASP-21555,130.89624977870062
JVASP-65627,98.34679743386984
JVASP-62630,190.7292899354308
JVASP-69314,94.04151059582615
JVASP-15777,92.55545467040402
JVASP-69078,96.23348385338493
JVASP-69042,94.22609130159172
JVASP-65633,96.76078223679151
JVASP-69240,97.69389326160594
JVASP-68963,96.40943140118122
JVASP-69082,97.29385631416837
JVASP-65563,95.33489223906496
JVASP-65635,97.701999042813
JVASP-69163,98.20464510814752
JVASP-65480,98.15691179450032
JVASP-53303,48.16598105798069
JVASP-14576,46.9613023676425
JVASP-65679,96.8825587032412
JVASP-19886,48.43399340717167
JVASP-66536,98.30868169007604
JVASP-65604,94.55655324440268
JVASP-65804,98.56345243633577
JVASP-65755,96.1181998400955
JVASP-42568,158.30300792177422
JVASP-69054,95.85202375958922
JVASP-62801,173.20449443404044
JVASP-65687,95.59615255734244
JVASP-65421,97.68943549195048
JVASP-66686,69.71757607493164
JVASP-3888,211.48827603634143
JVASP-14632,64.12821843570222
JVASP-65647,95.31240157287908
JVASP-65576,97.99729840738968
JVASP-4840,110.68606296055256
JVASP-52574,217.4801723233261
JVASP-69138,94.97646826013636
JVASP-65614,98.6788479357938
JVASP-1294,49.162079201789744
JVASP-28372,45.28890272681014
JVASP-61096,163.97150708302587
JVASP-66635,67.3108410547742
JVASP-65583,92.29863670888145
JVASP-69350,88.03168068387659
JVASP-67034,82.21286803811124
JVASP-67907,93.11561766168758
JVASP-63235,82.71751963989645
JVASP-67116,69.24592223957909
JVASP-67353,68.1570325597737
JVASP-61409,205.4221935709783
JVASP-5275,173.9087883998345
JVASP-48337,165.65253149961652
JVASP-67440,87.30130887875274
JVASP-67583,71.06236214804444
JVASP-66724,67.27363037683146
JVASP-67584,90.42111515660392
JVASP-67202,70.51923894551332
JVASP-67973,91.38144407496956
JVASP-68237,91.64652851245978
JVASP-62662,250.1353049950734
JVASP-67368,82.1721515754181
JVASP-67543,68.13891168591513
JVASP-66732,83.89328872295567
JVASP-67864,70.74072692463784
JVASP-15483,125.18046080307164
JVASP-67213,65.42629672902527
JVASP-5833,386.5683062390025
JVASP-18660,73.85970480107986
JVASP-66980,69.79032855258143
JVASP-68549,95.39950278322902
JVASP-67980,97.07427111433763
JVASP-15598,72.22651532474012
JVASP-42263,39.43230097053307
JVASP-537,72.7875982032051
JVASP-12150,78.33038154833265
JVASP-14919,115.79931008730016
JVASP-15645,110.52481600830264
JVASP-67925,91.71697635677688
JVASP-67292,87.11735665549726
JVASP-18837,96.7879203168559
JVASP-12151,105.94908731824182
JVASP-67393,64.29596475384965
