sample_id,formula_from_sites,n_sites,volume_a3,a_a,b_a,c_a,alpha_deg,beta_deg,gamma_deg,last_phdos_peak_cm1
575,Ba2S4Zr,7,199.49010922758578,5.0108913530703365,5.010891360439357,8.699242056126288,106.73869668912083,106.73869669625,89.99999997091216,456.97355178318014
525,GeHg2Se4,7,198.58238582772913,5.827678834791465,5.827678831430069,7.153384731292055,114.03766867469986,114.03766868800555,90.00000004214336,272.585757411125
461,AuScSn,3,69.34928973740101,4.611607516013379,4.611607517384679,4.61160752,59.999999981239924,59.9999999714034,59.99999999077214,234.5857604283931
723,P2Rb2S6,10,308.2249139739469,7.204445736491369,7.470575864885045,7.4705755601752335,74.34119353189062,61.17159266258753,61.17159277314757,652.5857272384436
1146,AlF5K2,8,136.7336648988483,3.75175829,6.03698785,6.03698785,90.0,90.0,90.0,624.5857294616939
307,Bi2O8Sb2,12,164.27755696160702,4.987572184816036,5.60701712243814,6.559816378710874,103.3810182453772,112.34365321705647,90.0000000001164,727.5857212833093
969,Au2Na4Sb2,8,211.47328248713313,5.92943061,6.039213429610067,6.039213430244973,102.07586926952158,90.0,90.0,192.58576376326835
814,H2K2O2,6,86.07265446250264,5.805707365968419,3.93668325,5.805707365968419,90.0,40.4414711030134,90.0,3261.585520079166
154,CuO2Rh,4,48.7048296218524,5.999814693555689,5.999814694738774,5.999814692847186,30.29502682785583,30.2950268181188,30.295026809508226,691.5857241417737
744,FeSbV,3,48.50761257892213,4.093627259942396,4.093627280770686,4.09362702,60.00000210723258,60.0000019389236,60.000006126369655,329.58575288522275
432,Fe4S4Sb4,12,200.29650040918833,5.92488762,6.0582234295308846,6.041428924803103,112.53406988294753,90.0,90.0,427.5857451038471
834,C2CaK2O6,11,158.91376057436452,6.944979288091513,6.94497929007118,6.94497929076288,46.14323159705182,46.14323160986206,46.14323158479657,1520.5856583176874
899,N6Rb2,8,160.7391253716744,5.974296678519361,5.974296678519361,5.974296678519361,99.81509739815027,114.50454512591887,114.50454512591887,2096.5856125822547
1259,Au4Cs4O4,12,342.0264345422161,6.317855662286332,8.007203004244138,8.00720300367284,81.0461565654173,66.76453441030144,66.76453439945418,541.5857360520424
659,Cs2Na2Te2,6,249.35660948253192,5.36076678,5.36076678,8.67694924,90.0,90.0,90.0,173.5857652719024
787,As2K4Zn,7,262.257489743399,9.64707962773265,9.647079840787777,9.647080244212402,34.89143091170153,34.89142910665728,34.89143270000429,324.58575328223185
499,BCa3N3,7,104.1749736161605,3.57110194,3.57110194,8.16881205,90.0,90.0,90.0,1648.585648154258
646,Li5O6Re,12,107.74815005464787,5.084135410711424,5.099087649786538,5.099087654568861,119.75193192305281,99.95101649761206,99.95101641400493,798.5857156457819
56,C2PtRb2,5,136.07525824240167,5.471406,5.471405999637481,5.24868671,90.0,90.0,120.00000000219177,1797.5856363233909
94,Ga4O6,10,100.68355117211368,5.3999117265157865,5.399911719858462,5.399911722684778,55.87160675531781,55.87160678598931,55.871606783431176,674.5857254916042
487,NNaO2,4,55.88779120985418,3.6324073662467566,4.32301498309655,4.323014978860565,78.74165266331504,65.15756410587268,65.15756406602085,1331.5856733246264
1226,F6GaNaTl2,10,157.17576114177763,6.057594388802744,6.057594388802744,6.057594388802744,59.99999999999999,59.99999999999999,59.99999999999999,507.58573875170373
807,Cl6Cs2Sn,9,303.3410543132763,7.541918948974133,7.541921018046131,7.541920870001616,59.99999566990123,60.00005989313287,60.00005942951729,309.58575447325865
1175,As2Li2O6,10,100.28836934278858,5.593871431593248,5.5938714335755995,5.593871428857419,51.93151234820564,51.93151229740282,51.93151222086984,722.5857216803181
250,Ca4Pb4Sr4,12,437.26030722663575,5.23426627,8.5321283,9.79099585,90.0,90.0,90.0,176.5857650336971
